ItemKey,GenericName,BrandName,DosageStrength,SoldPer,DefaultPurchasePrice,DefaultSellingPrice,IsActive,CanonicalSourceBDM,CanonicalSourceFileID,Notes,LastUpdatedAt
Ceftazivit | 1 g | C240121,Ceftazidime,Ceftazivit,1 g,vial,212.00,750.00,TRUE,Jake Montero,1wOWz4fba-GeFOeowYBvMaUnx-vRjQ1-ktd34GOLXx4I,,4/7/2026 17:44:42
Ceftrialis | 1 g | C240213,Ceftriaxone,Ceftrialis,1 g,vial,159.00,800.00,TRUE,Romela Shen Herrera,1HEfAOQUwqB2hrkJrKMYu9uLOM7LUylkpo1GhssjXCTA,,4/7/2026 17:44:42
Ceftrinova | 1 g | YNA3209,Ceftriaxone,Ceftrinova,1 g,vial,33.00,100.00,TRUE,Menivie Daniela,1IR8cNNH4KOiMUFREvFXq0wOCiIePAmYcHM8vVRkPnas,,4/7/2026 17:44:42
Ceftrixone | 1 g | 2411642,Ceftriaxone,Ceftrixone,1 g,vial,70.00,650.00,TRUE,Romela Shen Herrera,1HEfAOQUwqB2hrkJrKMYu9uLOM7LUylkpo1GhssjXCTA,,4/7/2026 17:44:42
Cefunova | 750 mg | YUN4201,Cefuroxime,Cefunova,750 mg,vial,20.00,70.00,TRUE,Menivie Daniela,1IR8cNNH4KOiMUFREvFXq0wOCiIePAmYcHM8vVRkPnas,,4/7/2026 17:44:42
Ciprogyl | 200 mg/100 mL | 11524009,Ciprofloxacin,Ciprogyl,200 mg/100 mL,bottle,19.00,550.00,TRUE,Romela Shen Herrera,1HEfAOQUwqB2hrkJrKMYu9uLOM7LUylkpo1GhssjXCTA,,4/7/2026 17:44:42
Ciproson | 200 mg/100 mL | 26430400,Ciprofloxacin,Ciproson,200 mg/100 mL,bottle,100.00,799.11,TRUE,Jake Montero,1wOWz4fba-GeFOeowYBvMaUnx-vRjQ1-ktd34GOLXx4I,,4/7/2026 17:44:42
Ciproson | 200 mg/100 mL | 26450030,Ciprofloxacin,Ciproson,200 mg/100 mL,bottle,85.00,550.00,FALSE,Edcel Mae Arespacochaga,17J5RP7HqErs6Tv7daOAxKxU7nd77wX7EkUkpR06AuJY,,4/7/2026 17:44:42
Clindex 600 | 600 mg/4 mL | ML24596,Clindamycin,Clindex 600,600 mg/4 mL,ampoule,105.00,650.00,TRUE,Menivie Daniela,1IR8cNNH4KOiMUFREvFXq0wOCiIePAmYcHM8vVRkPnas,,4/7/2026 17:44:42
Clonisur | 150 mcg/ mL | GN3114,Clonidine,Clonisur,150 mcg/ mL,ampoule,95.00,180.00,TRUE,Edcel Mae Arespacochaga,17J5RP7HqErs6Tv7daOAxKxU7nd77wX7EkUkpR06AuJY,,4/7/2026 17:44:42
Clonisur | 150 mcg/mL | GN2241,Clonidine,Clonisur,150 mcg/mL,ampoule,95.00,180.00,TRUE,Menivie Daniela,1IR8cNNH4KOiMUFREvFXq0wOCiIePAmYcHM8vVRkPnas,,4/7/2026 17:44:42
Cocine | 250 mg/2 mL | XV3G008,Amikacine,Cocine,250 mg/2 mL,vial,34.00,130.00,TRUE,Jay Ann Protacio,1O_SA5V6UFANT8ccPgPxYBUlnRgQd8uwRY_z2kCp9afE,,4/7/2026 17:44:42
Cocine | 250 mg/2 mL | XV4F014,Amikacine,Cocine ,250 mg/2 mL,vial,35.00,130.00,TRUE,Menivie Daniela,1IR8cNNH4KOiMUFREvFXq0wOCiIePAmYcHM8vVRkPnas,,4/7/2026 17:44:42
Cocine | 500 mg/2 mL | XV4B009,Amikacine,Cocine,500 mg/2 mL,vial,55.00,143.00,TRUE,Jay Ann Protacio,1O_SA5V6UFANT8ccPgPxYBUlnRgQd8uwRY_z2kCp9afE,,4/7/2026 17:44:42
Cocine | 500 mg/2 mL | XV4F001,Amikacine,Cocine ,500 mg/2 mL,vial,55.00,130.00,TRUE,Menivie Daniela,1IR8cNNH4KOiMUFREvFXq0wOCiIePAmYcHM8vVRkPnas,,4/7/2026 17:44:42
Corpilyn | 500 mg | UCY25002,Ampicillin,Corpilyn,500 mg,vial,13.50,50.00,TRUE,Judy Mae Patrocinio,1i1ehuB0k_2Ca9av9boBjMhaNAyU8rd3JJ7TP4XjVOtU,,4/7/2026 17:44:42
Cort | 20 mg | 3J017C,Prenisone,Cort,20 mg,tablet,2.19,10.00,TRUE,Menivie Daniela,1IR8cNNH4KOiMUFREvFXq0wOCiIePAmYcHM8vVRkPnas,,4/7/2026 17:44:42
Cyprox | 500 mg | 233123005,Ciprofloxacin,Cyprox,500 mg,capsule,1.56,9.61,FALSE,Menivie Daniela,1IR8cNNH4KOiMUFREvFXq0wOCiIePAmYcHM8vVRkPnas,,4/7/2026 17:44:42
Dexavit | 4 mg/mL | A250558,Dexamethasone,Dexavit,4 mg/mL,ampoule,47.00,102.00,TRUE,Jake Montero,1wOWz4fba-GeFOeowYBvMaUnx-vRjQ1-ktd34GOLXx4I,,4/7/2026 17:44:42
Dixin | 250 mcg/2 mL | IDGNAK502,Digoxin,Dixin,250 mcg/2 mL,ampoule,105.00,250.00,TRUE,Jay Ann Protacio,1O_SA5V6UFANT8ccPgPxYBUlnRgQd8uwRY_z2kCp9afE,,4/7/2026 17:44:42
Dixin | 250 mg/mL | IDGNA2403A,Digoxin,Dixin,250 mg/mL,ampoule,105.00,250.00,TRUE,Menivie Daniela,1IR8cNNH4KOiMUFREvFXq0wOCiIePAmYcHM8vVRkPnas,,4/7/2026 17:44:42
Doburis | 50 mg/mL | D04551,Dobutamine,Doburis,50 mg/mL,ampoule,117.00,500.00,FALSE,Menivie Daniela,1IR8cNNH4KOiMUFREvFXq0wOCiIePAmYcHM8vVRkPnas,,4/7/2026 17:44:42
Doptrex | 200 mg/5 mL | MD20592301,Dopamine,Doptrex,200 mg/5 mL,ampoule,44.00,120.00,TRUE,Jenny Rose Jacosalem,17RGzSlvVOHhUojZc5ZDmDlaUvVaQWBGytKf56t0Awgk,,4/7/2026 17:44:42
Doptrex | 200 mg/5 mL | 2BL24001,Dopamine,Doptrex,200 mg/5 mL,ampoule,44.00,120.00,TRUE,Menivie Daniela,1IR8cNNH4KOiMUFREvFXq0wOCiIePAmYcHM8vVRkPnas,,4/7/2026 17:44:42
Emacif | 100 mg/5 mL | ACS055,Cefixime,Emacif,100 mg/5 mL,bottle,70.00,160.00,TRUE,Menivie Daniela,1IR8cNNH4KOiMUFREvFXq0wOCiIePAmYcHM8vVRkPnas,,4/7/2026 17:44:42
Epix | 1 mg/mL | 250301,Epinephrine,Epix,1 mg/mL,ampoule,6.50,35.00,TRUE,Jenny Rose Jacosalem,17RGzSlvVOHhUojZc5ZDmDlaUvVaQWBGytKf56t0Awgk,,4/7/2026 17:44:42
Epokine 10000 iu | 1.0 mg | ES025C5,Epoetin Alfa,Epokine 10000 iu,1.0 mg,PFS,"1,750.00","1,890.00",FALSE,Jay Ann Protacio,1O_SA5V6UFANT8ccPgPxYBUlnRgQd8uwRY_z2kCp9afE,,4/7/2026 17:44:42
Epokine 4000 iu | 0.4 mL | ES025C6,Epoetin Alfa,Epokine 4000 iu,0.4 mL,PFS,573.98,873.45,FALSE,Jay Ann Protacio,1O_SA5V6UFANT8ccPgPxYBUlnRgQd8uwRY_z2kCp9afE,,4/7/2026 17:44:42
Eryssa 4000 iu | 0.4 mL | AXCEWO2,Epoetin Alfa,Eryssa 4000 iu,0.4 mL,PFS,390.00,650.00,FALSE,Jay Ann Protacio,1O_SA5V6UFANT8ccPgPxYBUlnRgQd8uwRY_z2kCp9afE,,4/7/2026 17:44:42
Execore | 500 mg | ECT240051,Cefuroxime,Execore,500 mg,tablet,9.00,35.00,TRUE,Menivie Daniela,1IR8cNNH4KOiMUFREvFXq0wOCiIePAmYcHM8vVRkPnas,,4/7/2026 17:44:42
Execore | 750 mg | ECFML24001,Cefuroxime,Execore ,750 mg,vial,21.00,220.00,TRUE,Jay Ann Protacio,1O_SA5V6UFANT8ccPgPxYBUlnRgQd8uwRY_z2kCp9afE,,4/7/2026 17:44:42
Farsobid | 10 mg/10 mL | 3RI005,Isosorbide ,Farsobid,10 mg/10 mL,vial,370.00,500.00,TRUE,Judy Mae Patrocinio,1i1ehuB0k_2Ca9av9boBjMhaNAyU8rd3JJ7TP4XjVOtU,,4/7/2026 17:44:42
