,BDM,Territory,SourceSpreadsheetID,ItemKey,GenericName,BrandName,DosageStrength,BatchLotNo,ExpiryDate,SoldPer,StockOnHand,MinimalStock,PurchasePrice,SellingPrice,InventoryValue,IsActive,NearExpiryFlag,StockStatus,Remarks
MGO,Jake Montero,MG and CO.,1wOWz4fba-GeFOeowYBvMaUnx-vRjQ1-ktd34GOLXx4I,Vitral | 50 mg/mL | A25592,Tramadol,Vitral,50 mg/mL,A25592,08/28/26,ampoule,740,100,57.00,110.00,"42,180.00",TRUE,OK,OK,
MGO,Jake Montero,MG and CO.,1wOWz4fba-GeFOeowYBvMaUnx-vRjQ1-ktd34GOLXx4I,Pantrex | 500 mg/5 mL | 1125088,Tranexamic Acid,Pantrex,500 mg/5 mL,1125088,11/30/28,ampoule,500,200,63.00,160.00,"31,500.00",TRUE,OK,OK,
PAN,Romela Shen Herrera,VIP Panay,1HEfAOQUwqB2hrkJrKMYu9uLOM7LUylkpo1GhssjXCTA,Kelxime | 1 g  | ECEFM24001,Cefotaxime,Kelxime,1 g ,ECEFM24001,03/01/27,vial,237,200,60.00,300.00,"14,220.00",TRUE,OK,OK,
PAN,Romela Shen Herrera,VIP Panay,1HEfAOQUwqB2hrkJrKMYu9uLOM7LUylkpo1GhssjXCTA,Ceftrialis | 1 g | C240213,Ceftriaxone,Ceftrialis,1 g,C240213,17/12/27,vial,55,100,159.00,800.00,"8,745.00",TRUE,REORDER,LOW,
PAN,Romela Shen Herrera,VIP Panay,1HEfAOQUwqB2hrkJrKMYu9uLOM7LUylkpo1GhssjXCTA,Ceftrixone | 1 g | 2411642,Ceftriaxone,Ceftrixone,1 g,2411642,11/01/27,vial,245,300,70.00,650.00,"17,150.00",TRUE,REORDER,LOW,
PAN,Romela Shen Herrera,VIP Panay,1HEfAOQUwqB2hrkJrKMYu9uLOM7LUylkpo1GhssjXCTA,Vitaroxima | 750 mg | C240064,Cefuroxime,Vitaroxima,750 mg,C240064,12/04/27,vial,90,100,112.00,500.00,"10,080.00",TRUE,REORDER,LOW,
PAN,Romela Shen Herrera,VIP Panay,1HEfAOQUwqB2hrkJrKMYu9uLOM7LUylkpo1GhssjXCTA,Clindex-600 | 600 mg/4 mL | ML24596,Clindamycin,Clindex-600,600  mg/4 mL,ML24596,07/30/26,ampoule,34,100,70.00,650.00,"2,380.00",TRUE,EXPIRY RISK,LOW,
PAN,Romela Shen Herrera,VIP Panay,1HEfAOQUwqB2hrkJrKMYu9uLOM7LUylkpo1GhssjXCTA,Axagyl | 500 mg/100 mL | DK40567,Metronidazole,Axagyl,500 mg/100 mL ,DK40567,10/01/27,bottle,0,500,19.00,190.00,0.00,TRUE,OUT OF STOCK,OUT,
PAN,Romela Shen Herrera,VIP Panay,1HEfAOQUwqB2hrkJrKMYu9uLOM7LUylkpo1GhssjXCTA,Qualiprazole | 40mg | 2501668,Omeprazole,Qualiprazole,40mg,2501668,01/01/28,vial,200,200,90.00,450.00,"18,000.00",TRUE,REORDER,OK,
PAN,Romela Shen Herrera,VIP Panay,1HEfAOQUwqB2hrkJrKMYu9uLOM7LUylkpo1GhssjXCTA,MD-Cid | 20 mg/2mL | 4106,Ranitidine,MD-Cid,20 mg/2mL,4106,04/01/26,ampoule,70,100,13.00,85.00,910.00,TRUE,EXPIRY RISK,LOW,
PAN,Romela Shen Herrera,VIP Panay,1HEfAOQUwqB2hrkJrKMYu9uLOM7LUylkpo1GhssjXCTA,Ciprogyl | 200 mg/100 mL | 11524009,Ciprofloxacin,Ciprogyl,200 mg/100 mL,11524009,02/01/27,bottle,100,100,19.00,550.00,"1,900.00",TRUE,REORDER,OK,
PAN,Romela Shen Herrera,VIP Panay,1HEfAOQUwqB2hrkJrKMYu9uLOM7LUylkpo1GhssjXCTA,Sobinate | 84 mg/ mL (8.4% w/v) | L0732404A,Sodium Bicarbonate,Sobinate,84 mg/ mL (8.4% w/v),L0732404A,05/30/27,ampoule,128,200,119.00,300.00,"15,232.00",TRUE,REORDER,LOW,
PAN,Romela Shen Herrera,VIP Panay,1HEfAOQUwqB2hrkJrKMYu9uLOM7LUylkpo1GhssjXCTA,Philvan | 1 g | VTDG5B6,Vancomycin,Philvan,1 g,VTDG5B6,06/01/27,ampoule,110,100,160.00,720.00,"17,600.00",TRUE,OK,OK,
PAN,Romela Shen Herrera,VIP Panay,1HEfAOQUwqB2hrkJrKMYu9uLOM7LUylkpo1GhssjXCTA,Philvan | 500 mg | VTDG5A7,Vancomycin,Philvan,500 mg,VTDG5A7,06/01/27,ampoule,100,100,100.00,720.00,"10,000.00",TRUE,REORDER,OK,
