_id,brand_name,generic_name,dosage_strength,unit_code,selling_price,item_key,vat_status,is_active
69cdfa2b7d949500267e8c6f,"Liferzin","Ampicillin","250mg",VIAL,50,Liferzin|250mg,VATABLE,TRUE
69cdfa2c7d949500267e8c72,"Losil","Hyoscine-n-butylbromide","20mg/ ML",AMPULE,120,Losil|20mg/ ML,VATABLE,TRUE
69cdfa2c7d949500267e8c75,"Losil","Hyoscine-n Butylbromide","20mg/ml",AMPULE,350,Losil|20mg/ml,VATABLE,TRUE
69cdfa2c7d949500267e8c78,"Losil","Hyoscine-n-butylbromide","20mg/mL",VIAL,100,Losil|20mg/mL,VATABLE,TRUE
69cdfa2c7d949500267e8c7b,"Lozemed Plain","2,4- Dichlorobenzyl Alcohol Amylmetacresol","1.2/ 600mcg",TABLET,0,Lozemed Plain|1.2/ 600mcg,VATABLE,FALSE
69cdfa2c7d949500267e8c7e,"Macro Drip","Infusion Set","20 Drops/ml",PC,0,Macro Drip|20 Drops/ml,VATABLE,TRUE
69cdfa2d7d949500267e8c81,"Md-cid","Ranitidine","50mg/2ml",AMPULE,85,Md-cid|50mg/2ml,VATABLE,TRUE
69cdfa2d7d949500267e8c84,"Md-cid","Ranitidine HCL","50mg/ml",AMPULE,65,Md-cid|50mg/ml,VATABLE,TRUE
69cdfa2d7d949500267e8c87,"Md-uretic","Furosemide","20mg/2ml",AMPULE,45,Md-uretic|20mg/2ml,VATABLE,TRUE
69cdfa2d7d949500267e8c8a,"Md-uritec","Furosemide","10mg/ml",AMPULE,45,Md-uritec|10mg/ml,VATABLE,TRUE
69cdfa2d7d949500267e8c8d,"Melatonin","Medi -nite","3mg",TABLET,0,Melatonin|3mg,VATABLE,FALSE
69cdfa2d7d949500267e8c90,"Metoclosil","Metoclopramide","10mg/2ml",AMPULE,45,Metoclosil|10mg/2ml,VATABLE,TRUE
69cdfa2e7d949500267e8c93,"Metoclosil","Metoclopramide","5mg/ ML",AMPULE,0,Metoclosil|5mg/ ML,VATABLE,TRUE
69cdfa2e7d949500267e8c96,"Metoclosil","Metoclopramide","5mg/mL",AMPULE,55,Metoclosil|5mg/mL,VATABLE,TRUE
69cdfa2e7d949500267e8c99,"Micro Drip","Infusion Set","60 Drops/ml",PC,0,Micro Drip|60 Drops/ml,VATABLE,TRUE
69cdfa2e7d949500267e8c9c,"Neostigmine","Neotalis","0.5mg /ml",AMPULE,200,Neostigmine|0.5mg /ml,VATABLE,TRUE
69cdfa2e7d949500267e8c9f,"Neotalis","Neostigmine Methylsulfate","0.5mg/mL",AMPULE,200,Neotalis|0.5mg/mL,VATABLE,TRUE
69cdfa2e7d949500267e8ca2,"Nestle Pre-nan","Milk","400g",CAN,1,Nestle Pre-nan|400g,VATABLE,TRUE
69cdfa2e7d949500267e8ca5,"Noprivex 4000","Enoxaparin","4000 I.u",PFS,450,Noprivex 4000|4000 I.u,VATABLE,TRUE
69cdfa2f7d949500267e8ca8,"Noprivex 6000","Enoxaparin","6000 I.u",PFS,600,Noprivex 6000|6000 I.u,VATABLE,TRUE
69cdfa2f7d949500267e8cab,"Noxprivex 4000","Enoxaparin Sodium","4000iu",PFS,450,Noxprivex 4000|4000iu,VATABLE,TRUE
69cdfa2f7d949500267e8cae,"Noxprivex 4000 IU","Enoxaparin Sodium","0.4ml",PFS,16,Noxprivex 4000 IU|0.4ml,VATABLE,TRUE
69cdfa2f7d949500267e8cb1,"Noxprivex 6000 IU","Enoxaparin Sodium","0.6ml",PFS,450,Noxprivex 6000 IU|0.6ml,VATABLE,TRUE
69cdfa2f7d949500267e8cb4,"Nupira","Norepinephrine","10mg/10mL",AMPULE,750,Nupira|10mg/10mL,VATABLE,TRUE
